Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa03050:Proteasome	4	80.0	1.465945386349159E-7	PSMA3, PSMA4, PSMC6, PSMA2	4	46	8534	185.5217391304348	1.3193500739694386E-6	1.319350847714243E-6	1.319350847714243E-6
KEGG_PATHWAY	hsa05017:Spinocerebellar ataxia	4	80.0	4.706322057739914E-6	PSMA3, PSMA4, PSMC6, PSMA2	4	144	8534	59.26388888888889	4.235610114755595E-5	2.117844925982961E-5	2.117844925982961E-5
KEGG_PATHWAY	hsa05012:Parkinson disease	4	80.0	3.1679630252810864E-5	PSMA3, PSMA4, PSMC6, PSMA2	4	271	8534	31.490774907749078	2.850805453832317E-4	7.696812983263154E-5	7.696812983263154E-5
KEGG_PATHWAY	hsa05020:Prion disease	4	80.0	3.42080577033918E-5	PSMA3, PSMA4, PSMC6, PSMA2	4	278	8534	30.697841726618705	3.0783039580917215E-4	7.696812983263154E-5	7.696812983263154E-5
KEGG_PATHWAY	hsa05016:Huntington disease	4	80.0	4.794853377432717E-5	PSMA3, PSMA4, PSMC6, PSMA2	4	311	8534	27.440514469453372	4.314540470000683E-4	8.630736079378891E-5	8.630736079378891E-5
KEGG_PATHWAY	hsa05014:Amyotrophic lateral sclerosis	4	80.0	8.15261190765851E-5	PSMA3, PSMA4, PSMC6, PSMA2	4	371	8534	23.002695417789756	7.334958429093819E-4	1.2228917861487764E-4	1.2228917861487764E-4
KEGG_PATHWAY	hsa05010:Alzheimer disease	4	80.0	9.547413554475733E-5	PSMA3, PSMA4, PSMC6, PSMA2	4	391	8534	21.82608695652174	8.589391418156733E-4	1.2275245998611659E-4	1.2275245998611659E-4
KEGG_PATHWAY	hsa05022:Pathways of neurodegeneration - multiple diseases	4	80.0	1.8023287665419708E-4	PSMA3, PSMA4, PSMC6, PSMA2	4	483	8534	17.66873706004141	0.0016209269615133914	2.0276198623597172E-4	2.0276198623597172E-4
